carname,price,milage,hubraum,fuel_type,transmission,num_seats,num_doors,emission_class,car_type,num_owners,Model,power_ps,age
Mercedes-Benz EQC 400 4MATIC Navi/Distronic/Sofort verfügbar!,48950.0,4187.0,1.991,Benzin,Automatik,5,4/5,Euro6,kombi,1,OTHER,258.0,0.7466666666665939
Mercedes-Benz GLA 200 CDI Automatik/LED,43580.0,18200.0,1.95,Diesel,Automatik,5,4/5,Euro6d,suv,1,GLA,163.0,1.1633333333332607
Mercedes-Benz Mercedes Benz CLA 220 d Coupé PEAK,29990.0,70417.0,1.95,Diesel,Automatik,5,4/5,Euro6,kombi,1,CLA,194.0,4.41333333333326
Mercedes-Benz S 560 4Ma Lang AMG+Chauffer+PSD+VOLL+3xTV+NP165,45400.0,9700.0,1.95,Diesel,Automatik,5,4/5,Euro6d,suv,1,S-Klasse,150.0,0.4966666666665939
Mercedes-Benz CLA 180 EDITION 2020+AMG+Night+Pano+LED+Kamera,45990.0,14000.0,1.332,Benzin,Automatik,5,4/5,Euro6d,sport,1,CLA,136.0,0.0799999999999272
Mercedes-Benz Coupe E400 4Matic AMG Line=LEDER-BRAUN=KAMERA,39990.0,133200.0,2.996,Benzin,Automatik,4,2/3,Euro6,sport,1,OTHER,333.0,3.4133333333332607
Mercedes-Benz GLC 43 AMG Cp. 4M designo Fahrass 360°,42990.0,14000.0,1.332,Benzin,Automatik,5,4/5,Euro6d,limousine,1,GLC,136.0,0.1633333333332606
Mercedes-Benz GLE 350 e 4M AMG WideScreen Pano Distr. HUD AHK,27690.0,49920.0,1.461,Diesel,Automatik,5,4/5,Euro6d,limousine,1,GLE,116.0,2.9133333333332607
Mercedes-Benz S 63 AMG 4M+ Lang Carbon Keramik Driversp Stdhzg,40890.0,35736.0,2.143,Diesel,Automatik,5,4/5,Euro6c,suv,1,S-Klasse,170.0,2.5799999999999272
Mercedes-Benz GLC 250 d 4M Exclusive LED Kamera Navi EDW 9G,25000.0,99000.0,1.598,Diesel,Schaltgetriebe,3,2/3,Euro6,van,2,CL,114.0,4.41333333333326
Mercedes-Benz CLA 220 d EDITION 2020+AMG+Night+Pano+LED+Kamera,50890.0,58813.0,2.996,Benzin,Automatik,5,4/5,Euro6,sport,1,CLA,367.0,4.496666666666594
Mercedes-Benz S 500 L 4M AMG+Night+Pano+DIGITAL-L+Burmester3D+,34990.0,54113.0,2.143,Diesel,Automatik,5,4/5,Euro6,suv,1,S-Klasse,204.0,3.1633333333332607
Mercedes-Benz C 180 AVANTG+Night+Pano+360+LED+Sthzg+Spur+Totw,52900.0,14000.0,1.95,Diesel,Automatik,5,4/5,Euro6,sport,1,C-Klasse,190.0,0.0799999999999272
